Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.9565341287500815,67.01966793097765,73,148,1.07848722581666e-85,[0.94 0.97]
ICC2,Single random raters,0.9569175562494969,173.74537824033501,73,146,4.204643911554401e-114,[0.79 0.98]
ICC3,Single fixed raters,0.9829298498200195,173.74537824033501,73,146,4.204643911554401e-114,[0.98 0.99]
ICC1k,Average raters absolute,0.9850790069412179,67.01966793097765,73,148,1.07848722581666e-85,[0.98 0.99]
ICC2k,Average random raters,0.9852145224121641,173.74537824033501,73,146,4.204643911554401e-114,[0.92 0.99]
ICC3k,Average fixed raters,0.994244451218629,173.74537824033501,73,146,4.204643911554401e-114,[0.99 1.  ]
