Image name,Ground Truth,LoG,Error,DoG,Error,DoH,Error
001_,"414
",716,72.94685990338165,388,6.280193236714976,2022,388.40579710144925
002_,"397
",782,96.97732997481108,419,5.541561712846348,2057,418.13602015113355
003_,"356
",607,70.50561797752809,400,12.359550561797752,2479,596.3483146067416
004_,"297
",580,95.28619528619528,317,6.7340067340067336,1690,469.02356902356905
005_,"309
",534,72.81553398058253,319,3.2362459546925564,1885,510.0323624595469
006_,"348
",736,111.49425287356323,386,10.919540229885058,1895,444.5402298850575
007_,"377
",728,93.10344827586206,400,6.10079575596817,1904,405.0397877984085
008_,"404
",689,70.54455445544554,392,2.9702970297029703,2349,481.4356435643564
009_,"317
",578,82.33438485804416,356,12.302839116719243,2358,643.8485804416404
010_,"240
",458,90.83333333333333,241,0.4166666666666667,1587,561.25
011_,"436
",862,97.70642201834863,436,0.0,1942,345.41284403669727
012_,"251
",499,98.80478087649402,275,9.56175298804781,1641,553.784860557769
013_,"435
",855,96.55172413793103,438,0.6896551724137931,1886,333.5632183908046
014_,"378
",756,100.0,418,10.582010582010582,2360,524.3386243386244
015_,"356
",721,102.52808988764043,377,5.8988764044943816,1934,443.2584269662922
016_,"417
",736,76.49880095923261,383,8.15347721822542,1855,344.8441247002398
017_,"231
",498,115.5844155844156,244,5.627705627705628,1334,477.4891774891775
018_,"242
",490,102.4793388429752,242,0.0,1460,503.3057851239669
019_,"364
",678,86.26373626373626,362,0.5494505494505495,1771,386.53846153846155
020_,"389
",656,68.63753213367609,376,3.3419023136246784,2391,514.6529562982005
021_,"304
",606,99.3421052631579,324,6.578947368421052,1739,472.0394736842105
022_,"399
",722,80.95238095238095,421,5.513784461152882,2302,476.9423558897243
023_,"265
",543,104.90566037735849,285,7.547169811320755,1468,453.9622641509434
024_,"341
",708,107.62463343108504,409,19.941348973607038,2508,635.483870967742
025_,"323
",632,95.6656346749226,328,1.5479876160990713,1475,356.656346749226
026_,"344
",625,81.68604651162791,387,12.5,2647,669.4767441860465
027_,"422
",637,50.947867298578196,393,6.872037914691943,2332,452.60663507109007
028_,"336
",509,51.488095238095234,320,4.761904761904762,2022,501.78571428571433
029_,"306
",613,100.32679738562092,317,3.594771241830065,1597,421.8954248366013
030_,"228
",433,89.91228070175438,242,6.140350877192982,1081,374.1228070175439
031_,"353
",671,90.08498583569406,428,21.246458923512748,2623,643.0594900849858
032_,"357
",689,92.99719887955182,365,2.2408963585434174,1798,403.64145658263305
033_,"339
",662,95.28023598820059,342,0.8849557522123894,1828,439.23303834808263
034_,"269
",558,107.43494423791822,287,6.691449814126393,1743,547.9553903345725
035_,"370
",729,97.02702702702702,399,7.837837837837839,2355,536.4864864864865
036_,"122
",258,111.47540983606557,131,7.377049180327869,697,471.3114754098361
037_,"416
",743,78.60576923076923,412,0.9615384615384616,1959,370.91346153846155
038_,"380
",738,94.21052631578948,382,0.5263157894736842,1962,416.3157894736842
039_,"248
",548,120.96774193548387,266,7.258064516129033,1453,485.8870967741935
040_,"334
",703,110.47904191616766,373,11.676646706586826,2157,545.8083832335329
041_,"365
",523,43.28767123287671,276,24.383561643835616,2028,455.6164383561644
042_,"201
",383,90.54726368159204,200,0.4975124378109453,1112,453.23383084577114
043_,"354
",745,110.45197740112995,366,3.389830508474576,1871,428.5310734463277
044_,"278
",555,99.64028776978418,272,2.158273381294964,1608,478.4172661870503
045_,"394
",819,107.86802030456852,441,11.928934010152284,2245,469.7969543147208
046_,"281
",582,107.11743772241992,274,2.491103202846975,1351,380.7829181494662
047_,"284
",567,99.64788732394366,296,4.225352112676056,1635,475.7042253521127
048_,"408
",769,88.48039215686273,418,2.450980392156863,1947,377.20588235294116
049_,"285
",587,105.96491228070175,316,10.87719298245614,2256,691.578947368421
050_,"415
",825,98.79518072289156,460,10.843373493975903,2668,542.8915662650603
051_,"391
",716,83.12020460358056,416,6.3938618925831205,2267,479.7953964194374
052_,"395
",735,86.07594936708861,405,2.5316455696202533,2283,477.9746835443038
053_,"366
",711,94.26229508196722,405,10.655737704918032,2496,581.967213114754
054_,"329
",607,84.49848024316108,347,5.47112462006079,1919,483.28267477203644
055_,"263
",529,101.14068441064639,279,6.083650190114068,1416,438.40304182509504
056_,"356
",660,85.39325842696628,350,1.6853932584269662,1822,411.7977528089888
057_,"413
",771,86.68280871670703,445,7.74818401937046,2463,496.3680387409201
058_,"406
",739,82.01970443349754,393,3.201970443349754,1885,364.2857142857143
059_,"312
",553,77.24358974358975,311,0.3205128205128205,1978,533.9743589743589
060_,"430
",746,73.48837209302326,396,7.906976744186046,2352,446.97674418604646
061_,"408
",685,67.8921568627451,371,9.068627450980392,2039,399.7549019607843
062_,"407
",698,71.49877149877149,394,3.194103194103194,1984,387.46928746928745
063_,"276
",577,109.05797101449275,282,2.1739130434782608,1522,451.4492753623189
064_,"363
",791,117.90633608815426,407,12.121212121212121,2176,499.4490358126722
065_,"382
",830,117.27748691099475,461,20.680628272251308,2556,569.109947643979
066_,"255
",520,103.921568627451,263,3.1372549019607843,1455,470.5882352941177
067_,"209
",373,78.4688995215311,206,1.4354066985645932,1223,485.16746411483257
068_,"312
",612,96.15384615384616,318,1.9230769230769231,1687,440.7051282051282
069_,"381
",707,85.56430446194226,431,13.123359580052494,2479,550.6561679790027
070_,"357
",719,101.40056022408963,382,7.002801120448179,2161,505.3221288515406
071_,"429
",629,46.620046620046615,357,16.783216783216783,2035,374.35897435897436
072_,"423
",768,81.56028368794325,404,4.491725768321513,1896,348.2269503546099
073_,"316
",628,98.73417721518987,304,3.79746835443038,1512,378.4810126582279
074_,"358
",733,104.74860335195531,386,7.82122905027933,2025,465.6424581005586
075_,"305
",573,87.8688524590164,299,1.9672131147540985,1465,380.327868852459
076_,"326
",722,121.47239263803682,370,13.496932515337424,1929,491.717791411043
077_,"432
",691,59.95370370370371,404,6.481481481481481,2045,373.3796296296296
078_,"330
",653,97.87878787878788,359,8.787878787878787,1909,478.4848484848485
079_,"361
",693,91.96675900277008,425,17.72853185595568,2766,666.2049861495846
080_,"370
",782,111.35135135135134,451,21.891891891891895,2585,598.6486486486486
