Image name,Ground Truth,Local Maxima,Error
001_,"414
",422,1.932367149758454
002_,"397
",444,11.838790931989925
003_,"356
",421,18.258426966292134
004_,"297
",330,11.11111111111111
005_,"309
",310,0.3236245954692557
006_,"348
",418,20.114942528735632
007_,"377
",416,10.344827586206897
008_,"404
",413,2.2277227722772275
009_,"317
",433,36.59305993690852
010_,"240
",254,5.833333333333333
011_,"436
",454,4.128440366972478
012_,"251
",266,5.9760956175298805
013_,"435
",453,4.137931034482759
014_,"378
",437,15.608465608465607
015_,"356
",393,10.393258426966293
016_,"417
",406,2.6378896882494005
017_,"231
",264,14.285714285714285
018_,"242
",273,12.8099173553719
019_,"364
",379,4.1208791208791204
020_,"389
",408,4.884318766066838
021_,"304
",356,17.105263157894736
022_,"399
",439,10.025062656641603
023_,"265
",290,9.433962264150944
024_,"341
",434,27.27272727272727
025_,"323
",335,3.7151702786377707
026_,"344
",414,20.348837209302324
027_,"422
",460,9.004739336492891
028_,"336
",358,6.547619047619048
029_,"306
",323,5.555555555555555
030_,"228
",241,5.701754385964912
031_,"353
",457,29.461756373937675
032_,"357
",390,9.243697478991598
033_,"339
",359,5.899705014749262
034_,"269
",288,7.063197026022305
035_,"370
",421,13.783783783783784
036_,"122
",197,61.47540983606557
037_,"416
",428,2.8846153846153846
038_,"380
",390,2.631578947368421
039_,"248
",268,8.064516129032258
040_,"334
",375,12.275449101796406
041_,"365
",415,13.698630136986301
042_,"201
",222,10.44776119402985
043_,"354
",374,5.649717514124294
044_,"278
",280,0.7194244604316548
045_,"394
",452,14.720812182741117
046_,"281
",283,0.7117437722419928
047_,"284
",312,9.859154929577464
048_,"408
",444,8.823529411764707
049_,"285
",302,5.964912280701754
050_,"415
",480,15.66265060240964
051_,"391
",444,13.554987212276215
052_,"395
",426,7.848101265822785
053_,"366
",443,21.03825136612022
054_,"329
",367,11.55015197568389
055_,"263
",283,7.604562737642586
056_,"356
",365,2.528089887640449
057_,"413
",463,12.106537530266344
058_,"406
",408,0.49261083743842365
059_,"312
",325,4.166666666666666
060_,"430
",440,2.3255813953488373
061_,"408
",453,11.029411764705882
062_,"407
",427,4.914004914004914
063_,"276
",282,2.1739130434782608
064_,"363
",412,13.498622589531681
065_,"382
",480,25.654450261780106
066_,"255
",278,9.019607843137255
067_,"209
",211,0.9569377990430622
068_,"312
",329,5.448717948717949
069_,"381
",451,18.37270341207349
070_,"357
",404,13.165266106442578
071_,"429
",414,3.4965034965034967
072_,"423
",415,1.8912529550827424
073_,"316
",323,2.2151898734177213
074_,"358
",389,8.659217877094973
075_,"305
",307,0.6557377049180327
076_,"326
",406,24.539877300613497
077_,"432
",438,1.3888888888888888
078_,"330
",365,10.606060606060606
079_,"361
",414,14.681440443213297
080_,"370
",462,24.864864864864867
